Year,Country,GDP_Per_Capita,MBB_Per_100,FBB_Per_100,Internet_Users_Perc,Mob_Cellular_Sub,ICT_Services_Exp,Infl_CP_Annual_Perc,Unempl_Perc_LF,Population,Manuf_Val_Add,Exp_Good_Serv,Gross_Cap_Form
2013,Pakistan,1259.67,0.462,0.79,9,62.21,17.47,7.69,2.95,205337562,13.32,12.20,14.98
2014,Pakistan,1303.19,4.5,0.96,10,65.19,13.94,7.19,1.83,208251628,13.41,11.20,14.91
2015,Pakistan,1421.84,11.6,0.85,11,59.68,13.38,2.53,3.57,210969298,12.30,10.00,15.81
2016,Pakistan,1468.82,18,1.17,12.39,63.92,17.29,3.77,2.29,213524840,11.21,8.70,15.94
2017,Pakistan,1567.64,22.5,1.07,13.78,66.79,15.94,4.09,3.19,216379655,11.30,8.20,16.33
2018,Pakistan,1620.74,28,0.98,15.34,70.08,19,5.08,4.08,219731479,11.60,8.60,17.07
2019,Pakistan,1437.17,34,0.91,17.07,74.08,22.01,10.58,4.83,223293280,12.59,9.40,15.50
2020,Pakistan,1322.31,40.2,1.08,18.93,77.3,31.82,9.74,6.22,227196741,11.42,9.30,14.82
2021,Pakistan,1506.11,46.5,1.27,21.04,81.55,37.45,9.50,6.34,231402117,11.93,9.10,14.53
2022,Pakistan,1588.88,51.5,1.33,33,81.75,35.37,19.87,5.60,235824862,13.78,10.50,15.72
2013,India,1438.06,3.12,1.16,12.3,68.65,48.44,10.02,8.06,1291132063,15.25,25.40,34.02
2014,India,1559.86,5.35,1.2,13.5,72.21,47.58,6.67,7.98,1307246509,15.07,23.00,34.27
2015,India,1590.17,9.07,1.28,14.9,75.67,48.87,4.91,7.89,1322866505,15.58,19.80,32.12
2016,India,1714.28,16.2,1.39,16.5,84.25,47.3,4.95,7.81,1338636340,15.16,19.20,30.17
2017,India,1957.97,25.5,1.32,18.2,86.32,42.38,3.33,7.73,1354195680,15.02,18.80,30.98
2018,India,1974.38,37,1.33,20.08,85.9,41.3,3.94,7.65,1369003306,14.88,19.90,32.34
2019,India,2050.16,46.5,1.39,29.52,83.25,43.96,3.73,6.51,1383112050,13.46,18.70,30.10
